beijing,CN101010100
haidian,CN101010200
chaoyang,CN101010300
shunyi,CN101010400
huairou,CN101010500
tongzhou,CN101010600
changping,CN101010700
yanqing,CN101010800
fengtai,CN101010900
shijingshan,CN101011000
daxing,CN101011100
fangshan,CN101011200
miyun,CN101011300
mentougou,CN101011400
pinggu,CN101011500
dongcheng,CN101011600
xicheng,CN101011700
shanghai,CN101020100
minhang,CN101020200
baoshan,CN101020300
huangpu,CN101020400
jiading,CN101020500
pudongxinqu,CN101020600
jinshan,CN101020700
qingpu,CN101020800
songjiang,CN101020900
fengxian,CN101021000
chongming,CN101021100
xuhui,CN101021200
changning,CN101021300
jingan,CN101021400
putuo,CN101021500
hongkou,CN101021600
yangpu,CN101021700
tianjin,CN101030100
wuqing,CN101030200
baodi,CN101030300
dongli,CN101030400
xiqing,CN101030500
beichen,CN101030600
ninghe,CN101030700
heping,CN101030800
jinghai,CN101030900
jinnan,CN101031000
binhaixinqu,CN101031100
hedong,CN101031200
hexi,CN101031300
jizhou,CN101031400
nankai,CN101031500
hebei,CN101031600
hongqiao,CN101031700
chongqing,CN101040100
yongchuan,CN101040200
hechuan,CN101040300
nanchuan,CN101040400
jiangjin,CN101040500
yubei,CN101040700
beibei,CN101040800
banan,CN101040900
changshou,CN101041000
qianjiang,CN101041100
yuzhong,CN101041200
wanzhou,CN101041300
fuling,CN101041400
kaixian,CN101041500
chengkou,CN101041600
yunyang,CN101041700
wuxi,CN101041800
fengjie,CN101041900
wushan,CN101042000
tongnan,CN101042100
dianjiang,CN101042200
liangping,CN101042300
zhongxian,CN101042400
shizhu,CN101042500
dazu,CN101042600
rongchang,CN101042700
tongliang,CN101042800
bishan,CN101042900
fengdu,CN101043000
wulong,CN101043100
pengshui,CN101043200
qijiang,CN101043300
youyang,CN101043400
dadukou,CN101043500
xiushan,CN101043600
jiangbei,CN101043700
shapingba,CN101043800
jiulongpo,CN101043900
nanan,CN101044000
kaizhou,CN101044100
haerbin,CN101050101
shuangcheng,CN101050102
hulan,CN101050103
acheng,CN101050104
binxian,CN101050105
yilan,CN101050106
bayan,CN101050107
tonghe,CN101050108
fangzheng,CN101050109
yanshou,CN101050110
shangzhi,CN101050111
wuchang,CN101050112
mulan,CN101050113
daoli,CN101050114
nangang,CN101050115
daowai,CN101050116
pingfang,CN101050117
songbei,CN101050118
xiangfang,CN101050119
qiqihaer,CN101050201
nehe,CN101050202
longjiang,CN101050203
gannan,CN101050204
fuyu,CN101050205
yian,CN101050206
baiquan,CN101050207
keshan,CN101050208
kedong,CN101050209
tailai,CN101050210
longsha,CN101050211
jianhua,CN101050212
tiefeng,CN101050213
angangxi,CN101050214
fulaerji,CN101050215
nianzishan,CN101050216
meilisi,CN101050217
mudanjiang,CN101050301
hailin,CN101050302
muling,CN101050303
linkou,CN101050304
suifenhe,CN101050305
ningan,CN101050306
dongning,CN101050307
dongan,CN101050308
yangming,CN101050309
aimin,CN101050310
xian,CN101050311
jiamusi,CN101050401
tangyuan,CN101050402
fuyuan,CN101050403
huachuan,CN101050404
huanan,CN101050405
tongjiang,CN101050406
fujin,CN101050407
xiangyang,CN101050408
qianjin,CN101050409
dongfeng,CN101050410
jiaoqu,CN101050411
suihua,CN101050501
zhaodong,CN101050502
anda,CN101050503
hailun,CN101050504
mingshui,CN101050505
wangkui,CN101050506
lanxi,CN101050507
qinggang,CN101050508
qingan,CN101050509
suiling,CN101050510
beilin,CN101050511
heihe,CN101050601
nenjiang,CN101050602
sunwu,CN101050603
xunke,CN101050604
